"DISTRICT_ID","PROVINCE_ID","CODE","DISTRICT_CODE","DISTRICT_THAI","DISTRICT_ENGLISH","UPDATED_AT","CREATED_AT"
1,1,"01","1001",พระนคร,Phra Nakhon,2024-10-25 00:52:08.000,2024-10-25 00:52:08.000
2,1,"02","1002",ดุสิต,Dusit,2024-10-25 00:52:08.000,2024-10-25 00:52:08.000
3,1,"03","1003",หนองจอก,Nong Chok,2024-10-25 00:52:08.000,2024-10-25 00:52:08.000
4,1,"04","1004",บางรัก,Bang Rak,2024-10-25 00:52:08.000,2024-10-25 00:52:08.000
5,1,"05","1005",บางเขน,Bang Khen,2024-10-25 00:52:08.000,2024-10-25 00:52:08.000
6,1,"06","1006",บางกะปิ,Bang Kapi,2024-10-25 00:52:08.000,2024-10-25 00:52:08.000
7,1,"07","1007",ปทุมวัน,Pathum Wan,2024-10-25 00:52:08.000,2024-10-25 00:52:08.000
8,1,"08","1008",ป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai,2024-10-25 00:52:08.000,2024-10-25 00:52:08.000
9,1,"09","1009",พระโขนง,Phra Khanong,2024-10-25 00:52:08.000,2024-10-25 00:52:08.000
10,1,"10","1010",มีนบุรี,Min Buri,2024-10-25 00:52:08.000,2024-10-25 00:52:08.000
11,1,"11","1011",ลาดกระบัง,Lat Krabang,2024-10-25 00:52:08.000,2024-10-25 00:52:08.000
12,1,"12","1012",ยานนาวา,Yan Nawa,2024-10-25 00:52:08.000,2024-10-25 00:52:08.000
13,1,"13","1013",สัมพันธวงศ์,Samphanthawong,2024-10-25 00:52:08.000,2024-10-25 00:52:08.000
14,1,"14","1014",พญาไท,Phaya Thai,2024-10-25 00:52:08.000,2024-10-25 00:52:08.000
15,1,"15","1015",ธนบุรี,Thon Buri,2024-10-25 00:52:08.000,2024-10-25 00:52:08.000
16,1,"16","1016",บางกอกใหญ่,Bangkok Yai,2024-10-25 00:52:08.000,2024-10-25 00:52:08.000
17,1,"17","1017",ห้วยขวาง,Huai Khwang,2024-10-25 00:52:08.000,2024-10-25 00:52:08.000
18,1,"18","1018",คลองสาน,Khlong San,2024-10-25 00:52:08.000,2024-10-25 00:52:08.000
19,1,"19","1019",ตลิ่งชัน,Taling Chan,2024-10-25 00:52:08.000,2024-10-25 00:52:08.000
20,1,"20","1020",บางกอกน้อย,Bangkok Noi,2024-10-25 00:52:08.000,2024-10-25 00:52:08.000
21,1,"21","1021",บางขุนเทียน,Bang Khun Thian,2024-10-25 00:52:08.000,2024-10-25 00:52:08.000
