"PROVINCE_ID","CODE","PROVINCE_THAI","PROVINCE_ENGLISH","UPDATED_AT","CREATED_AT"
1,"10",กรุงเทพมหานคร,Bangkok,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
2,"11",สมุทรปราการ,Samut Prakan,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
3,"12",นนทบุรี,Nonthaburi,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
4,"13",ปทุมธานี,Pathum Thani,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
5,"14",พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
6,"15",อ่างทอง,Ang Thong,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
7,"16",ลพบุรี,Lop Buri,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
8,"17",สิงห์บุรี,Sing Buri,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
9,"18",ชัยนาท,Chai Nat,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
10,"19",สระบุรี,Saraburi,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
11,"20",ชลบุรี,Chon Buri,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
12,"21",ระยอง,Rayong,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
13,"22",จันทบุรี,Chanthaburi,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
14,"23",ตราด,Trat,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
15,"24",ฉะเชิงเทรา,Chachoengsao,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
16,"25",ปราจีนบุรี,Prachin Buri,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
17,"26",นครนายก,Nakhon Nayok,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
18,"27",สระแก้ว,Sa Kaeo,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
19,"30",นครราชสีมา,Nakhon Ratchasima,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
20,"31",บุรีรัมย์,Buri Ram,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
21,"32",สุรินทร์,Surin,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
22,"33",ศรีสะเกษ,Si Sa Ket,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
23,"34",อุบลราชธานี,Ubon Ratchathani,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
24,"35",ยโสธร,Yasothon,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
25,"36",ชัยภูมิ,Chaiyaphum,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
26,"37",อำนาจเจริญ,Amnat Charoen,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
27,"38",บึงกาฬ,Bueng Kan,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
28,"39",หนองบัวลำภู,Nong Bua Lam Phu,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
29,"40",ขอนแก่น,Khon Kaen,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
30,"41",อุดรธานี,Udon Thani,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
31,"42",เลย,Loei,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
32,"43",หนองคาย,Nong Khai,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
33,"44",มหาสารคาม,Maha Sarakham,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
34,"45",ร้อยเอ็ด,Roi Et,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
35,"46",กาฬสินธุ์,Kalasin,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
36,"47",สกลนคร,Sakon Nakhon,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
37,"48",นครพนม,Nakhon Phanom,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
38,"49",มุกดาหาร,Mukdahan,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
39,"50",เชียงใหม่,Chiang Mai,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
40,"51",ลำพูน,Lamphun,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
41,"52",ลำปาง,Lampang,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
42,"53",อุตรดิตถ์,Uttaradit,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
43,"54",แพร่,Phrae,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
44,"55",น่าน,Nan,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
45,"56",พะเยา,Phayao,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
46,"57",เชียงราย,Chiang Rai,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
47,"58",แม่ฮ่องสอน,Mae Hong Son,2024-10-22 15:21:23.000,2024-10-22 15:21:23.000
